,TWII
2007/1/2,7920.8
2007/1/3,7917.3
2007/1/4,7934.51
2007/1/5,7835.57
2007/1/8,7736.71
2007/1/9,7790.01
2007/1/10,7698.52
2007/1/11,7618.55
2007/1/12,7761.71
2007/1/15,7783.5
2007/1/16,7792.08
2007/1/17,7833.98
2007/1/18,7895.18
2007/1/19,7840.08
2007/1/22,7842.47
2007/1/23,7852.36
2007/1/24,7935.54
2007/1/25,7923.77
2007/1/26,7821.32
2007/1/29,7751.79
2007/1/30,7739.91
2007/1/31,7699.64
2007/2/1,7701.54
2007/2/2,7777.03
2007/2/5,7783.12
2007/2/6,7875.75
2007/2/7,7850.06
2007/2/8,7842.22
2007/2/9,7859.53
2007/2/12,7776.36
2007/2/13,7736.83
2007/2/14,7809.45
2007/2/26,7900.2
2007/2/27,7901.96
2007/3/1,7678.67
2007/3/2,7670.77
2007/3/3,7630.15
2007/3/5,7344.56
2007/3/6,7451.06
2007/3/7,7480.89
2007/3/8,7573.87
2007/3/9,7568.2
2007/3/12,7629.15
2007/3/13,7684
2007/3/14,7570.27
2007/3/15,7695.96
2007/3/16,7719.8
2007/3/19,7737.46
2007/3/20,7736.2
2007/3/21,7757.03
2007/3/22,7823.67
2007/3/23,7859.32
2007/3/26,7877.82
2007/3/27,7845.17
2007/3/28,7788.14
2007/3/29,7848.33
2007/3/30,7884.41
2007/4/2,7884.99
2007/4/3,7932.91
2007/4/4,8004.61
2007/4/9,8056.56
2007/4/10,8048.39
2007/4/11,8084.45
2007/4/12,8075.2
2007/4/13,8002.3
2007/4/14,8045.12
2007/4/16,8043.54
2007/4/17,7959.29
2007/4/18,8003.31
2007/4/19,7888.63
2007/4/20,7942.67
2007/4/23,8010.46
2007/4/24,8045.01
2007/4/25,7984.65
2007/4/26,8000.04
2007/4/27,7949.42
2007/4/30,7875.42
2007/5/2,7903.04
2007/5/3,7926.66
2007/5/4,8066.06
2007/5/7,8115.27
2007/5/8,8095.84
2007/5/9,8052.7
2007/5/10,8096.86
2007/5/11,8031.54
2007/5/14,8030.56
2007/5/15,7975.03
2007/5/16,7988.57
2007/5/17,8037.96
2007/5/18,8034.14
2007/5/21,8141.59
2007/5/22,8188.63
2007/5/23,8221.79
2007/5/24,8216.41
2007/5/25,8159.97
2007/5/28,8156.82
2007/5/29,8181.49
2007/5/30,8147.34
2007/5/31,8144.95
2007/6/1,8249.9
2007/6/4,8294.79
2007/6/5,8303.99
2007/6/6,8314.68
2007/6/7,8355.26
2007/6/8,8300.71
2007/6/11,8338.88
2007/6/12,8370.26
2007/6/13,8346.39
2007/6/14,8450.72
2007/6/15,8573.64
2007/6/20,8755.88
2007/6/21,8851.99
2007/6/22,8846.39
2007/6/23,8812.91
2007/6/25,8939.19
2007/6/26,8865.75
2007/6/27,8844.22
2007/6/28,8892.83
2007/6/29,8883.21
2007/7/2,8939.49
2007/7/3,8996.2
2007/7/4,9068.98
2007/7/5,9148.78
2007/7/6,9188.31
2007/7/9,9369.84
2007/7/10,9384.73
2007/7/11,9290.95
2007/7/12,9354.41
2007/7/13,9471.3
2007/7/16,9417.32
2007/7/17,9509.73
2007/7/18,9485.35
2007/7/19,9473.31
2007/7/20,9585.9
2007/7/23,9621.57
2007/7/24,9744.06
2007/7/25,9740.13
2007/7/26,9566.42
2007/7/27,9162.28
2007/7/30,9072.57
2007/7/31,9287.25
2007/8/1,8891.88
2007/8/2,8950.57
2007/8/3,9057.82
2007/8/6,8941.73
2007/8/7,8862.31
2007/8/8,9099.46
2007/8/9,9182.6
2007/8/10,8931.31
2007/8/13,8938.96
2007/8/14,8910.99
2007/8/15,8593.04
2007/8/16,8201.37
2007/8/17,8090.29
2007/8/20,8515.6
2007/8/21,8479.08
